checkpoint path: checkpoints/ic15_resnet50_bs_8_ep_60
init lr: 0.00100000
schedule:  [20, 40]
Training from scratch.

Epoch: [1 | 60] LR: 0.001000
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2416: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2506: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
(681/1250) Batch: 1.086s | TOTAL: 12min | ETA: 10min | Loss: 0.4157 | Acc_t:  0.7952 | IOU_t:  0.6676 | IOU_k:  0.7132
(701/1250) Batch: 1.085s | TOTAL: 13min | ETA: 10min | Loss: 0.4141 | Acc_t:  0.7969 | IOU_t:  0.6698 | IOU_k:  0.7145
(721/1250) Batch: 1.085s | TOTAL: 13min | ETA: 10min | Loss: 0.4128 | Acc_t:  0.7973 | IOU_t:  0.6708 | IOU_k:  0.7149
(741/1250) Batch: 1.085s | TOTAL: 13min | ETA: 9min | Loss: 0.4108 | Acc_t:  0.7980 | IOU_t:  0.6721 | IOU_k:  0.7156
(761/1250) Batch: 1.085s | TOTAL: 14min | ETA: 9min | Loss: 0.4091 | Acc_t:  0.7991 | IOU_t:  0.6740 | IOU_k:  0.7161
(781/1250) Batch: 1.085s | TOTAL: 14min | ETA: 8min | Loss: 0.4075 | Acc_t:  0.7990 | IOU_t:  0.6747 | IOU_k:  0.7155
(801/1250) Batch: 1.085s | TOTAL: 14min | ETA: 8min | Loss: 0.4067 | Acc_t:  0.7995 | IOU_t:  0.6762 | IOU_k:  0.7156
(821/1250) Batch: 1.085s | TOTAL: 15min | ETA: 8min | Loss: 0.4044 | Acc_t:  0.8003 | IOU_t:  0.6778 | IOU_k:  0.7159
(841/1250) Batch: 1.085s | TOTAL: 15min | ETA: 7min | Loss: 0.4028 | Acc_t:  0.8015 | IOU_t:  0.6792 | IOU_k:  0.7172
(861/1250) Batch: 1.084s | TOTAL: 16min | ETA: 7min | Loss: 0.4015 | Acc_t:  0.8021 | IOU_t:  0.6800 | IOU_k:  0.7179
(881/1250) Batch: 1.084s | TOTAL: 16min | ETA: 7min | Loss: 0.4001 | Acc_t:  0.8017 | IOU_t:  0.6808 | IOU_k:  0.7177
(901/1250) Batch: 1.084s | TOTAL: 16min | ETA: 6min | Loss: 0.3977 | Acc_t:  0.8024 | IOU_t:  0.6818 | IOU_k:  0.7182
